Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,2,1,1485210330,1485210335,5
Integral,2,2,1485210335,1485210343,8
Integral,2,3,1485210343,1485210351,8
Integral,2,4,1485210351,1485210359,8
Integral,2,5,1485210359,1485210367,8
Integral,2,6,1485210367,1485210375,8
Integral,2,7,1485210375,1485210383,8
Integral,2,8,1485210383,1485210391,8
Integral,2,9,1485210391,1485210399,8
Integral,2,10,1485210399,1485210407,8
Integral,2,11,1485210407,1485210415,8
Integral,2,12,1485210415,1485210423,8
Integral,2,13,1485210423,1485210431,8
Integral,2,14,1485210431,1485210439,8
Integral,2,15,1485210439,1485210447,8
Integral,2,16,1485210447,1485210455,8
Integral,2,1,1485210455,1485210463,8
Integral,2,2,1485210463,1485210470,7
Integral,2,3,1485210470,1485210478,8
Integral,2,4,1485210478,1485210487,9
Integral,2,5,1485210487,1485210494,7
Integral,2,6,1485210494,1485210502,8
Integral,2,7,1485210502,1485210510,8
Integral,2,8,1485210510,1485210518,8
Integral,2,9,1485210518,1485210526,8
Integral,2,10,1485210526,1485210534,8
Integral,2,11,1485210534,1485210542,8
Integral,2,12,1485210542,1485210550,8
Integral,2,13,1485210550,1485210558,8
Integral,2,14,1485210558,1485210566,8
Integral,2,15,1485210566,1485210575,9
Integral,2,16,1485210575,1485210583,8
Integral,2,1,1485210583,1485210590,7
Integral,2,2,1485210590,1485210599,9
Integral,2,3,1485210599,1485210607,8
Integral,2,4,1485210607,1485210615,8
Integral,2,5,1485210615,1485210623,8
Integral,2,6,1485210623,1485210631,8
Integral,2,7,1485210631,1485210639,8
Integral,2,8,1485210639,1485210647,8
Integral,2,9,1485210647,1485210655,8
Integral,2,10,1485210655,1485210663,8
Integral,2,11,1485210663,1485210671,8
Integral,2,12,1485210671,1485210679,8
Integral,2,13,1485210679,1485210687,8
Integral,2,14,1485210687,1485210695,8
Integral,2,15,1485210695,1485210703,8
Integral,2,16,1485210703,1485210711,8
Integral,2,1,1485210711,1485210719,8
Integral,2,2,1485210719,1485210727,8
Integral,2,3,1485210727,1485210735,8
Integral,2,4,1485210735,1485210743,8
Integral,2,5,1485210743,1485210751,8
Integral,2,6,1485210751,1485210759,8
Integral,2,7,1485210759,1485210767,8
Integral,2,8,1485210767,1485210774,7
Integral,2,9,1485210774,1485210783,9
Integral,2,10,1485210783,1485210791,8
Integral,2,11,1485210791,1485210799,8
Integral,2,12,1485210799,1485210807,8
Integral,2,13,1485210807,1485210814,7
Integral,2,14,1485210814,1485210822,8
Integral,2,15,1485210822,1485210830,8
Integral,2,16,1485210830,1485210838,8
Integral,2,1,1485210838,1485210846,8
Integral,2,2,1485210846,1485210854,8
Integral,2,3,1485210854,1485210862,8
Integral,2,4,1485210862,1485210870,8
Integral,2,5,1485210870,1485210878,8
Integral,2,6,1485210878,1485210886,8
Integral,2,7,1485210886,1485210894,8
Integral,2,8,1485210894,1485210902,8
Integral,2,9,1485210902,1485210910,8
Integral,2,10,1485210910,1485210918,8
Integral,2,11,1485210918,1485210926,8
Integral,2,12,1485210926,1485210934,8
Integral,2,13,1485210934,1485210942,8
Integral,2,14,1485210942,1485210950,8
Integral,2,15,1485210950,1485210958,8
Integral,2,16,1485210958,1485210966,8
Integral,4,1,1485210966,1485210974,8
Integral,4,2,1485210974,1485210982,8
Integral,4,3,1485210982,1485210990,8
Integral,4,4,1485210990,1485210998,8
Integral,4,5,1485210998,1485211006,8
Integral,4,6,1485211006,1485211014,8
Integral,4,7,1485211014,1485211022,8
Integral,4,8,1485211022,1485211031,9
Integral,4,9,1485211031,1485211038,7
Integral,4,10,1485211038,1485211046,8
Integral,4,11,1485211046,1485211054,8
Integral,4,12,1485211054,1485211062,8
Integral,4,13,1485211062,1485211070,8
Integral,4,14,1485211070,1485211078,8
Integral,4,15,1485211078,1485211087,9
Integral,4,16,1485211087,1485211095,8
Integral,4,1,1485211095,1485211103,8
Integral,4,2,1485211103,1485211110,7
Integral,4,3,1485211110,1485211118,8
Integral,4,4,1485211118,1485211126,8
Integral,4,5,1485211126,1485211134,8
Integral,4,6,1485211134,1485211143,9
Integral,4,7,1485211143,1485211151,8
Integral,4,8,1485211151,1485211159,8
Integral,4,9,1485211159,1485211167,8
Integral,4,10,1485211167,1485211175,8
Integral,4,11,1485211175,1485211183,8
Integral,4,12,1485211183,1485211191,8
Integral,4,13,1485211191,1485211199,8
Integral,4,14,1485211199,1485211207,8
Integral,4,15,1485211207,1485211216,9
Integral,4,16,1485211216,1485211224,8
Integral,4,1,1485211224,1485211231,7
Integral,4,2,1485211231,1485211239,8
Integral,4,3,1485211239,1485211247,8
Integral,4,4,1485211247,1485211255,8
Integral,4,5,1485211255,1485211264,9
Integral,4,6,1485211264,1485211272,8
Integral,4,7,1485211272,1485211280,8
Integral,4,8,1485211280,1485211288,8
Integral,4,9,1485211288,1485211296,8
Integral,4,10,1485211296,1485211304,8
Integral,4,11,1485211304,1485211312,8
Integral,4,12,1485211312,1485211319,7
Integral,4,13,1485211319,1485211328,9
Integral,4,14,1485211328,1485211336,8
Integral,4,15,1485211336,1485211344,8
Integral,4,16,1485211344,1485211352,8
Integral,4,1,1485211352,1485211359,7
Integral,4,2,1485211359,1485211368,9
Integral,4,3,1485211368,1485211375,7
Integral,4,4,1485211375,1485211384,9
Integral,4,5,1485211384,1485211392,8
Integral,4,6,1485211392,1485211400,8
Integral,4,7,1485211400,1485211408,8
Integral,4,8,1485211408,1485211416,8
Integral,4,9,1485211416,1485211424,8
Integral,4,10,1485211424,1485211432,8
Integral,4,11,1485211432,1485211440,8
Integral,4,12,1485211440,1485211448,8
Integral,4,13,1485211448,1485211456,8
Integral,4,14,1485211456,1485211464,8
Integral,4,15,1485211464,1485211472,8
Integral,4,16,1485211472,1485211480,8
Integral,4,1,1485211480,1485211488,8
Integral,4,2,1485211488,1485211496,8
Integral,4,3,1485211496,1485211505,9
Integral,4,4,1485211505,1485211513,8
Integral,4,5,1485211513,1485211521,8
Integral,4,6,1485211521,1485211529,8
Integral,4,7,1485211529,1485211538,9
Integral,4,8,1485211538,1485211545,7
Integral,4,9,1485211545,1485211553,8
Integral,4,10,1485211553,1485211561,8
Integral,4,11,1485211561,1485211569,8
Integral,4,12,1485211569,1485211577,8
Integral,4,13,1485211577,1485211585,8
Integral,4,14,1485211585,1485211593,8
Integral,4,15,1485211593,1485211601,8
Integral,4,16,1485211601,1485211609,8
Integral,8,1,1485211609,1485211617,8
Integral,8,2,1485211617,1485211626,9
Integral,8,3,1485211626,1485211634,8
Integral,8,4,1485211634,1485211642,8
Integral,8,5,1485211642,1485211650,8
Integral,8,6,1485211650,1485211658,8
Integral,8,7,1485211658,1485211666,8
Integral,8,8,1485211666,1485211674,8
Integral,8,9,1485211674,1485211683,9
Integral,8,10,1485211683,1485211691,8
Integral,8,11,1485211691,1485211699,8
Integral,8,12,1485211699,1485211707,8
Integral,8,13,1485211707,1485211715,8
Integral,8,14,1485211715,1485211723,8
Integral,8,15,1485211723,1485211731,8
Integral,8,16,1485211731,1485211739,8
Integral,8,1,1485211739,1485211748,9
Integral,8,2,1485211748,1485211756,8
Integral,8,3,1485211756,1485211764,8
Integral,8,4,1485211764,1485211772,8
Integral,8,5,1485211772,1485211780,8
Integral,8,6,1485211780,1485211788,8
Integral,8,7,1485211788,1485211796,8
Integral,8,8,1485211796,1485211805,9
Integral,8,9,1485211805,1485211813,8
Integral,8,10,1485211813,1485211821,8
Integral,8,11,1485211821,1485211829,8
Integral,8,12,1485211829,1485211838,9
Integral,8,13,1485211838,1485211846,8
Integral,8,14,1485211846,1485211854,8
Integral,8,15,1485211854,1485211862,8
Integral,8,16,1485211862,1485211871,9
Integral,8,1,1485211871,1485211879,8
Integral,8,2,1485211879,1485211887,8
Integral,8,3,1485211887,1485211895,8
Integral,8,4,1485211895,1485211903,8
Integral,8,5,1485211903,1485211911,8
Integral,8,6,1485211911,1485211919,8
Integral,8,7,1485211919,1485211927,8
Integral,8,8,1485211927,1485211935,8
Integral,8,9,1485211935,1485211943,8
Integral,8,10,1485211943,1485211952,9
Integral,8,11,1485211952,1485211960,8
Integral,8,12,1485211960,1485211968,8
Integral,8,13,1485211968,1485211976,8
Integral,8,14,1485211976,1485211984,8
Integral,8,15,1485211984,1485211992,8
Integral,8,16,1485211992,1485212000,8
Integral,8,1,1485212000,1485212009,9
Integral,8,2,1485212009,1485212017,8
Integral,8,3,1485212017,1485212025,8
Integral,8,4,1485212025,1485212033,8
Integral,8,5,1485212033,1485212041,8
Integral,8,6,1485212041,1485212050,9
Integral,8,7,1485212050,1485212058,8
Integral,8,8,1485212058,1485212066,8
Integral,8,9,1485212066,1485212074,8
Integral,8,10,1485212074,1485212082,8
Integral,8,11,1485212082,1485212090,8
Integral,8,12,1485212090,1485212098,8
Integral,8,13,1485212098,1485212107,9
Integral,8,14,1485212107,1485212115,8
Integral,8,15,1485212115,1485212123,8
Integral,8,16,1485212123,1485212131,8
Integral,8,1,1485212131,1485212139,8
Integral,8,2,1485212139,1485212147,8
Integral,8,3,1485212147,1485212155,8
Integral,8,4,1485212155,1485212164,9
Integral,8,5,1485212164,1485212172,8
Integral,8,6,1485212172,1485212180,8
Integral,8,7,1485212180,1485212188,8
Integral,8,8,1485212188,1485212196,8
Integral,8,9,1485212196,1485212205,9
Integral,8,10,1485212205,1485212213,8
Integral,8,11,1485212213,1485212221,8
Integral,8,12,1485212221,1485212230,9
Integral,8,13,1485212230,1485212238,8
Integral,8,14,1485212238,1485212246,8
Integral,8,15,1485212246,1485212254,8
Integral,8,16,1485212254,1485212262,8
Integral,16,1,1485212262,1485212270,8
Integral,16,2,1485212270,1485212278,8
Integral,16,3,1485212278,1485212287,9
Integral,16,4,1485212287,1485212295,8
Integral,16,5,1485212295,1485212303,8
Integral,16,6,1485212303,1485212311,8
Integral,16,7,1485212311,1485212319,8
Integral,16,8,1485212319,1485212327,8
Integral,16,9,1485212327,1485212335,8
Integral,16,10,1485212335,1485212343,8
Integral,16,11,1485212343,1485212351,8
Integral,16,12,1485212351,1485212359,8
Integral,16,13,1485212359,1485212367,8
Integral,16,14,1485212367,1485212375,8
Integral,16,15,1485212375,1485212383,8
Integral,16,16,1485212383,1485212391,8
Integral,16,1,1485212391,1485212399,8
Integral,16,2,1485212399,1485212410,11
Integral,16,3,1485212410,1485212418,8
Integral,16,4,1485212418,1485212426,8
Integral,16,5,1485212426,1485212434,8
Integral,16,6,1485212434,1485212442,8
Integral,16,7,1485212442,1485212450,8
Integral,16,8,1485212450,1485212458,8
Integral,16,9,1485212458,1485212466,8
Integral,16,10,1485212466,1485212474,8
Integral,16,11,1485212474,1485212483,9
Integral,16,12,1485212483,1485212491,8
Integral,16,13,1485212491,1485212499,8
Integral,16,14,1485212499,1485212507,8
Integral,16,15,1485212507,1485212515,8
Integral,16,16,1485212515,1485212524,9
Integral,16,1,1485212524,1485212533,9
Integral,16,2,1485212533,1485212541,8
Integral,16,3,1485212541,1485212549,8
Integral,16,4,1485212549,1485212557,8
Integral,16,5,1485212557,1485212565,8
Integral,16,6,1485212565,1485212573,8
Integral,16,7,1485212573,1485212581,8
Integral,16,8,1485212581,1485212589,8
Integral,16,9,1485212589,1485212597,8
Integral,16,10,1485212597,1485212605,8
Integral,16,11,1485212605,1485212613,8
Integral,16,12,1485212613,1485212621,8
Integral,16,13,1485212621,1485212629,8
Integral,16,14,1485212629,1485212637,8
Integral,16,15,1485212637,1485212645,8
Integral,16,16,1485212645,1485212653,8
Integral,16,1,1485212653,1485212661,8
Integral,16,2,1485212661,1485212669,8
Integral,16,3,1485212669,1485212677,8
Integral,16,4,1485212677,1485212685,8
Integral,16,5,1485212685,1485212693,8
Integral,16,6,1485212693,1485212701,8
Integral,16,7,1485212701,1485212710,9
Integral,16,8,1485212710,1485212718,8
Integral,16,9,1485212718,1485212726,8
Integral,16,10,1485212726,1485212734,8
Integral,16,11,1485212734,1485212742,8
Integral,16,12,1485212742,1485212750,8
Integral,16,13,1485212750,1485212758,8
Integral,16,14,1485212758,1485212766,8
Integral,16,15,1485212766,1485212774,8
Integral,16,16,1485212774,1485212782,8
Integral,16,1,1485212782,1485212790,8
Integral,16,2,1485212790,1485212798,8
Integral,16,3,1485212798,1485212806,8
Integral,16,4,1485212806,1485212814,8
Integral,16,5,1485212814,1485212822,8
Integral,16,6,1485212822,1485212830,8
Integral,16,7,1485212830,1485212838,8
Integral,16,8,1485212838,1485212846,8
Integral,16,9,1485212846,1485212854,8
Integral,16,10,1485212854,1485212862,8
Integral,16,11,1485212862,1485212870,8
Integral,16,12,1485212870,1485212878,8
Integral,16,13,1485212878,1485212886,8
Integral,16,14,1485212886,1485212894,8
Integral,16,15,1485212894,1485212902,8
Integral,16,16,1485212902,1485212910,8
Integral,32,1,1485212910,1485212918,8
Integral,32,2,1485212918,1485212927,9
Integral,32,3,1485212927,1485212935,8
Integral,32,4,1485212935,1485212943,8
Integral,32,5,1485212943,1485212951,8
Integral,32,6,1485212951,1485212960,9
Integral,32,7,1485212960,1485212968,8
Integral,32,8,1485212968,1485212976,8
Integral,32,9,1485212976,1485212984,8
Integral,32,10,1485212984,1485212992,8
Integral,32,11,1485212992,1485213000,8
Integral,32,12,1485213000,1485213009,9
Integral,32,13,1485213009,1485213017,8
Integral,32,14,1485213017,1485213025,8
Integral,32,15,1485213025,1485213032,7
Integral,32,16,1485213032,1485213040,8
Integral,32,1,1485213040,1485213049,9
Integral,32,2,1485213049,1485213057,8
Integral,32,3,1485213057,1485213065,8
Integral,32,4,1485213065,1485213073,8
Integral,32,5,1485213073,1485213081,8
Integral,32,6,1485213081,1485213089,8
Integral,32,7,1485213089,1485213097,8
Integral,32,8,1485213097,1485213105,8
Integral,32,9,1485213105,1485213113,8
Integral,32,10,1485213113,1485213122,9
Integral,32,11,1485213122,1485213130,8
Integral,32,12,1485213130,1485213138,8
Integral,32,13,1485213138,1485213146,8
Integral,32,14,1485213146,1485213154,8
Integral,32,15,1485213154,1485213162,8
Integral,32,16,1485213162,1485213170,8
Integral,32,1,1485213170,1485213178,8
Integral,32,2,1485213178,1485213186,8
Integral,32,3,1485213186,1485213194,8
Integral,32,4,1485213194,1485213202,8
Integral,32,5,1485213202,1485213210,8
Integral,32,6,1485213210,1485213218,8
Integral,32,7,1485213218,1485213226,8
Integral,32,8,1485213226,1485213234,8
Integral,32,9,1485213234,1485213243,9
Integral,32,10,1485213243,1485213251,8
Integral,32,11,1485213251,1485213259,8
Integral,32,12,1485213259,1485213268,9
Integral,32,13,1485213268,1485213275,7
Integral,32,14,1485213275,1485213283,8
Integral,32,15,1485213283,1485213291,8
Integral,32,16,1485213291,1485213299,8
Integral,32,1,1485213299,1485213307,8
Integral,32,2,1485213307,1485213315,8
Integral,32,3,1485213315,1485213323,8
Integral,32,4,1485213323,1485213331,8
Integral,32,5,1485213331,1485213339,8
Integral,32,6,1485213339,1485213347,8
Integral,32,7,1485213347,1485213355,8
Integral,32,8,1485213355,1485213363,8
Integral,32,9,1485213363,1485213371,8
Integral,32,10,1485213371,1485213379,8
Integral,32,11,1485213379,1485213387,8
Integral,32,12,1485213387,1485213395,8
Integral,32,13,1485213395,1485213403,8
Integral,32,14,1485213403,1485213411,8
Integral,32,15,1485213411,1485213419,8
Integral,32,16,1485213419,1485213427,8
Integral,32,1,1485213427,1485213435,8
Integral,32,2,1485213435,1485213443,8
Integral,32,3,1485213443,1485213451,8
Integral,32,4,1485213451,1485213459,8
Integral,32,5,1485213459,1485213467,8
Integral,32,6,1485213467,1485213475,8
Integral,32,7,1485213475,1485213484,9
Integral,32,8,1485213484,1485213492,8
Integral,32,9,1485213492,1485213500,8
Integral,32,10,1485213500,1485213508,8
Integral,32,11,1485213508,1485213516,8
Integral,32,12,1485213516,1485213524,8
Integral,32,13,1485213524,1485213532,8
Integral,32,14,1485213532,1485213540,8
Integral,32,15,1485213540,1485213548,8
Integral,32,16,1485213548,1485213556,8
Integral,64,1,1485213556,1485213563,7
Integral,64,2,1485213563,1485213571,8
Integral,64,3,1485213571,1485213579,8
Integral,64,4,1485213579,1485213587,8
Integral,64,5,1485213587,1485213595,8
Integral,64,6,1485213595,1485213604,9
Integral,64,7,1485213604,1485213612,8
Integral,64,8,1485213612,1485213620,8
Integral,64,9,1485213620,1485213628,8
Integral,64,10,1485213628,1485213636,8
Integral,64,11,1485213636,1485213643,7
Integral,64,12,1485213643,1485213651,8
Integral,64,13,1485213651,1485213659,8
Integral,64,14,1485213659,1485213667,8
Integral,64,15,1485213667,1485213675,8
Integral,64,16,1485213675,1485213683,8
Integral,64,1,1485213683,1485213691,8
Integral,64,2,1485213691,1485213699,8
Integral,64,3,1485213699,1485213706,7
Integral,64,4,1485213706,1485213714,8
Integral,64,5,1485213714,1485213722,8
Integral,64,6,1485213722,1485213730,8
Integral,64,7,1485213730,1485213738,8
Integral,64,8,1485213738,1485213746,8
Integral,64,9,1485213746,1485213754,8
Integral,64,10,1485213754,1485213762,8
Integral,64,11,1485213762,1485213769,7
Integral,64,12,1485213769,1485213777,8
Integral,64,13,1485213777,1485213785,8
Integral,64,14,1485213785,1485213793,8
Integral,64,15,1485213793,1485213801,8
Integral,64,16,1485213801,1485213809,8
Integral,64,1,1485213809,1485213817,8
Integral,64,2,1485213817,1485213825,8
Integral,64,3,1485213825,1485213833,8
Integral,64,4,1485213833,1485213841,8
Integral,64,5,1485213841,1485213849,8
Integral,64,6,1485213849,1485213857,8
Integral,64,7,1485213857,1485213865,8
Integral,64,8,1485213865,1485213873,8
Integral,64,9,1485213873,1485213881,8
Integral,64,10,1485213881,1485213889,8
Integral,64,11,1485213889,1485213897,8
Integral,64,12,1485213897,1485213905,8
Integral,64,13,1485213905,1485213913,8
Integral,64,14,1485213913,1485213921,8
Integral,64,15,1485213921,1485213929,8
Integral,64,16,1485213929,1485213937,8
Integral,64,1,1485213937,1485213945,8
Integral,64,2,1485213945,1485213952,7
Integral,64,3,1485213952,1485213960,8
Integral,64,4,1485213960,1485213968,8
Integral,64,5,1485213968,1485213976,8
Integral,64,6,1485213976,1485213984,8
Integral,64,7,1485213984,1485213992,8
Integral,64,8,1485213992,1485214000,8
Integral,64,9,1485214000,1485214008,8
Integral,64,10,1485214008,1485214016,8
Integral,64,11,1485214016,1485214024,8
Integral,64,12,1485214024,1485214032,8
Integral,64,13,1485214032,1485214040,8
Integral,64,14,1485214040,1485214048,8
Integral,64,15,1485214048,1485214056,8
Integral,64,16,1485214056,1485214064,8
Integral,64,1,1485214064,1485214072,8
Integral,64,2,1485214072,1485214080,8
Integral,64,3,1485214080,1485214088,8
Integral,64,4,1485214088,1485214096,8
Integral,64,5,1485214096,1485214104,8
Integral,64,6,1485214104,1485214112,8
Integral,64,7,1485214112,1485214120,8
Integral,64,8,1485214120,1485214128,8
Integral,64,9,1485214128,1485214136,8
Integral,64,10,1485214136,1485214144,8
Integral,64,11,1485214144,1485214152,8
Integral,64,12,1485214152,1485214160,8
Integral,64,13,1485214160,1485214168,8
Integral,64,14,1485214168,1485214177,9
Integral,64,15,1485214177,1485214185,8
Integral,64,16,1485214185,1485214192,7
Integral,128,1,1485214192,1485214200,8
Integral,128,2,1485214200,1485214209,9
Integral,128,3,1485214209,1485214217,8
Integral,128,4,1485214217,1485214225,8
Integral,128,5,1485214225,1485214233,8
Integral,128,6,1485214233,1485214241,8
Integral,128,7,1485214241,1485214249,8
Integral,128,8,1485214249,1485214256,7
Integral,128,9,1485214256,1485214265,9
Integral,128,10,1485214265,1485214272,7
Integral,128,11,1485214272,1485214280,8
Integral,128,12,1485214280,1485214288,8
Integral,128,13,1485214288,1485214296,8
Integral,128,14,1485214296,1485214304,8
Integral,128,15,1485214304,1485214312,8
Integral,128,16,1485214312,1485214320,8
Integral,128,1,1485214320,1485214328,8
Integral,128,2,1485214328,1485214336,8
Integral,128,3,1485214336,1485214344,8
Integral,128,4,1485214344,1485214352,8
Integral,128,5,1485214352,1485214360,8
Integral,128,6,1485214360,1485214367,7
Integral,128,7,1485214367,1485214376,9
Integral,128,8,1485214376,1485214384,8
Integral,128,9,1485214384,1485214392,8
Integral,128,10,1485214392,1485214400,8
Integral,128,11,1485214400,1485214407,7
Integral,128,12,1485214407,1485214415,8
Integral,128,13,1485214415,1485214423,8
Integral,128,14,1485214423,1485214431,8
Integral,128,15,1485214431,1485214439,8
Integral,128,16,1485214439,1485214447,8
Integral,128,1,1485214447,1485214455,8
Integral,128,2,1485214455,1485214463,8
Integral,128,3,1485214463,1485214471,8
Integral,128,4,1485214471,1485214478,7
Integral,128,5,1485214478,1485214486,8
Integral,128,6,1485214486,1485214494,8
Integral,128,7,1485214494,1485214503,9
Integral,128,8,1485214503,1485214511,8
Integral,128,9,1485214511,1485214519,8
Integral,128,10,1485214519,1485214527,8
Integral,128,11,1485214527,1485214535,8
Integral,128,12,1485214535,1485214543,8
Integral,128,13,1485214543,1485214551,8
Integral,128,14,1485214551,1485214559,8
Integral,128,15,1485214559,1485214567,8
Integral,128,16,1485214567,1485214575,8
Integral,128,1,1485214575,1485214583,8
Integral,128,2,1485214583,1485214590,7
Integral,128,3,1485214590,1485214598,8
Integral,128,4,1485214598,1485214606,8
Integral,128,5,1485214606,1485214614,8
Integral,128,6,1485214614,1485214621,7
Integral,128,7,1485214621,1485214629,8
Integral,128,8,1485214629,1485214637,8
Integral,128,9,1485214637,1485214645,8
Integral,128,10,1485214645,1485214653,8
Integral,128,11,1485214653,1485214660,7
Integral,128,12,1485214660,1485214668,8
Integral,128,13,1485214668,1485214676,8
Integral,128,14,1485214676,1485214684,8
Integral,128,15,1485214684,1485214692,8
Integral,128,16,1485214692,1485214700,8
Integral,128,1,1485214700,1485214709,9
Integral,128,2,1485214709,1485214717,8
Integral,128,3,1485214717,1485214725,8
Integral,128,4,1485214725,1485214733,8
Integral,128,5,1485214733,1485214740,7
Integral,128,6,1485214740,1485214748,8
Integral,128,7,1485214748,1485214756,8
Integral,128,8,1485214756,1485214764,8
Integral,128,9,1485214764,1485214772,8
Integral,128,10,1485214772,1485214780,8
Integral,128,11,1485214780,1485214788,8
Integral,128,12,1485214788,1485214796,8
Integral,128,13,1485214796,1485214805,9
Integral,128,14,1485214805,1485214813,8
Integral,128,15,1485214813,1485214821,8
Integral,128,16,1485214821,1485214829,8
Integral,256,1,1485214829,1485214837,8
Integral,256,2,1485214837,1485214845,8
Integral,256,3,1485214845,1485214853,8
Integral,256,4,1485214853,1485214861,8
Integral,256,5,1485214861,1485214869,8
Integral,256,6,1485214869,1485214877,8
Integral,256,7,1485214877,1485214885,8
Integral,256,8,1485214885,1485214893,8
Integral,256,9,1485214893,1485214901,8
Integral,256,10,1485214901,1485214909,8
Integral,256,11,1485214909,1485214917,8
Integral,256,12,1485214917,1485214925,8
Integral,256,13,1485214925,1485214933,8
Integral,256,14,1485214933,1485214941,8
Integral,256,15,1485214941,1485214948,7
Integral,256,16,1485214948,1485214956,8
Integral,256,1,1485214956,1485214964,8
Integral,256,2,1485214964,1485214972,8
Integral,256,3,1485214972,1485214980,8
Integral,256,4,1485214980,1485214988,8
Integral,256,5,1485214988,1485214996,8
Integral,256,6,1485214996,1485215004,8
Integral,256,7,1485215004,1485215012,8
Integral,256,8,1485215012,1485215019,7
Integral,256,9,1485215019,1485215027,8
Integral,256,10,1485215027,1485215035,8
Integral,256,11,1485215035,1485215043,8
Integral,256,12,1485215043,1485215051,8
Integral,256,13,1485215051,1485215059,8
Integral,256,14,1485215059,1485215067,8
Integral,256,15,1485215067,1485215075,8
Integral,256,16,1485215075,1485215083,8
Integral,256,1,1485215083,1485215091,8
Integral,256,2,1485215091,1485215098,7
Integral,256,3,1485215098,1485215106,8
Integral,256,4,1485215106,1485215114,8
Integral,256,5,1485215114,1485215122,8
Integral,256,6,1485215122,1485215130,8
Integral,256,7,1485215130,1485215138,8
Integral,256,8,1485215138,1485215145,7
Integral,256,9,1485215145,1485215153,8
Integral,256,10,1485215153,1485215161,8
Integral,256,11,1485215161,1485215169,8
Integral,256,12,1485215169,1485215178,9
Integral,256,13,1485215178,1485215186,8
Integral,256,14,1485215186,1485215193,7
Integral,256,15,1485215193,1485215201,8
Integral,256,16,1485215201,1485215209,8
Integral,256,1,1485215209,1485215217,8
Integral,256,2,1485215217,1485215225,8
Integral,256,3,1485215225,1485215233,8
Integral,256,4,1485215233,1485215241,8
Integral,256,5,1485215241,1485215249,8
Integral,256,6,1485215249,1485215257,8
Integral,256,7,1485215257,1485215265,8
Integral,256,8,1485215265,1485215273,8
Integral,256,9,1485215273,1485215281,8
Integral,256,10,1485215281,1485215289,8
Integral,256,11,1485215289,1485215297,8
Integral,256,12,1485215297,1485215305,8
Integral,256,13,1485215305,1485215313,8
Integral,256,14,1485215313,1485215321,8
Integral,256,15,1485215321,1485215329,8
Integral,256,16,1485215329,1485215337,8
Integral,256,1,1485215337,1485215345,8
Integral,256,2,1485215345,1485215353,8
Integral,256,3,1485215353,1485215361,8
Integral,256,4,1485215361,1485215369,8
Integral,256,5,1485215369,1485215376,7
